time (19.11.2025);target (PCB) temperature (C);chiller setpoint (C);chiller temperature (internal) (C);housing temperature (C);sensor box temperature (C);PCB temperature (C);Pt1000 temperature (C);housing humidity (%);sensor box humidity (%)
16:00:11;-18.10;-30.00;-30.00;19.20;-18.50;-18.10;-21.02;9.00;4.20
16:00:13;-18.10;-30.00;-30.01;19.20;-18.50;-18.10;-21.02;9.00;4.20
16:00:15;-18.10;-30.00;-30.00;19.20;-18.50;-18.10;-21.02;9.00;4.20
16:00:17;-18.10;-30.00;-30.01;19.20;-18.50;-18.10;-21.03;9.00;4.20
16:00:19;-18.10;-30.00;-30.01;19.20;-18.50;-18.10;-21.02;9.00;4.10
16:00:21;-18.10;-30.00;-30.01;19.20;-18.50;-18.10;-21.02;9.00;4.20
16:00:23;-18.10;-30.00;-30.01;19.20;-18.50;-18.10;-21.02;9.00;4.20
16:00:25;-18.10;-30.00;-30.00;19.20;-18.50;-18.00;-21.02;9.00;4.20
16:00:27;-18.10;-30.00;-30.00;19.20;-18.50;-18.10;-21.02;9.00;4.20
16:00:29;-18.10;-30.00;-30.02;19.20;-18.50;-18.10;-21.02;9.00;4.20
16:00:31;-18.10;-30.00;-30.02;19.20;-18.50;-18.10;-21.02;9.00;4.20
16:00:33;-18.10;-30.00;-30.01;19.20;-18.50;-18.10;-21.01;8.90;4.20
16:00:35;-18.10;-30.00;-30.00;19.20;-18.50;-18.10;-21.01;8.80;4.20
16:00:37;-18.10;-30.00;-29.99;19.20;-18.50;-18.10;-21.01;8.80;4.20
16:00:39;-18.10;-30.00;-29.98;19.20;-18.50;-18.10;-21.01;8.80;4.20
16:00:41;-18.10;-30.00;-29.99;19.20;-18.50;-18.10;-21.02;8.70;4.20
16:00:43;-18.10;-30.00;-30.01;19.20;-18.50;-18.10;-21.02;8.80;4.20
16:00:45;-18.10;-30.00;-30.01;19.20;-18.50;-18.10;-21.02;8.70;4.20
16:00:47;-18.10;-30.00;-30.00;19.20;-18.50;-18.10;-21.03;8.70;4.20
16:00:49;-18.10;-30.00;-30.00;19.20;-18.50;-18.10;-21.03;8.70;4.20
16:00:51;-18.10;-30.00;-30.00;19.20;-18.50;-18.10;-21.03;8.70;4.20
16:00:53;-18.10;-30.00;-30.01;19.20;-18.50;-18.10;-21.03;8.70;4.20
16:00:55;-18.10;-30.00;-30.00;19.20;-18.50;-18.10;-21.03;8.80;4.20
16:00:57;-18.10;-30.00;-30.00;19.20;-18.50;-18.10;-21.02;8.90;4.20
16:00:59;-18.10;-30.00;-30.00;19.20;-18.50;-18.10;-21.02;8.90;4.20
16:01:01;-18.10;-30.00;-30.01;19.20;-18.50;-18.10;-21.02;9.00;4.20
16:01:03;-18.10;-30.00;-30.02;19.20;-18.50;-18.10;-21.03;9.00;4.20
16:01:05;-18.10;-30.00;-30.02;19.20;-18.50;-18.10;-21.02;9.00;4.20
16:01:07;-18.10;-30.00;-30.02;19.20;-18.50;-18.10;-21.02;9.00;4.20
16:01:09;-18.10;-30.00;-30.02;19.20;-18.50;-18.10;-21.03;9.00;4.20
16:01:11;-18.10;-30.00;-30.02;19.20;-18.50;-18.10;-21.02;9.00;4.20
16:01:13;-18.10;-30.00;-30.01;19.20;-18.50;-18.10;-21.02;9.00;4.20
16:01:15;-18.10;-30.00;-30.01;19.20;-18.50;-18.10;-21.02;9.00;4.10
16:01:17;-18.10;-30.00;-30.01;19.20;-18.50;-18.10;-21.02;9.10;4.20
16:01:19;-18.10;-30.00;-30.00;19.20;-18.50;-18.10;-21.02;9.10;4.20
16:01:21;-18.10;-30.00;-29.99;19.20;-18.50;-18.10;-21.02;9.10;4.20
16:01:23;-18.10;-30.00;-30.00;19.20;-18.50;-18.10;-21.03;9.10;4.20
16:01:25;-18.10;-30.00;-30.00;19.20;-18.50;-18.10;-21.03;9.00;4.20
16:01:27;-18.10;-30.00;-30.00;19.20;-18.50;-18.10;-21.04;9.00;4.20
16:01:29;-18.10;-30.00;-30.01;19.20;-18.50;-18.10;-21.03;9.00;4.20
16:01:31;-18.10;-30.00;-30.01;19.20;-18.50;-18.10;-21.04;8.90;4.20
16:01:33;-18.10;-30.00;-30.00;19.20;-18.50;-18.10;-21.04;8.90;4.10
16:01:35;-18.10;-30.00;-30.00;19.20;-18.50;-18.10;-21.03;8.90;4.20
16:01:37;-18.10;-30.00;-30.01;19.20;-18.50;-18.10;-21.03;8.80;4.20
16:01:39;-18.10;-30.00;-30.01;19.20;-18.50;-18.10;-21.03;8.70;4.20
16:01:41;-18.10;-30.00;-30.00;19.20;-18.50;-18.10;-21.04;8.70;4.10
16:01:43;-18.10;-30.00;-30.01;19.20;-18.50;-18.10;-21.04;8.60;4.20
16:01:45;-18.10;-30.00;-30.02;19.20;-18.50;-18.10;-21.04;8.60;4.20
16:01:47;-18.10;-30.00;-30.02;19.20;-18.50;-18.10;-21.04;8.70;4.20
16:01:49;-18.10;-30.00;-30.00;19.20;-18.50;-18.10;-21.04;8.70;4.20
16:01:51;-18.10;-30.00;-30.00;19.20;-18.50;-18.10;-21.04;8.70;4.20
16:01:53;-18.10;-30.00;-29.99;19.20;-18.50;-18.10;-21.03;8.70;4.10
16:01:55;-18.10;-30.00;-29.98;19.20;-18.50;-18.10;-21.03;8.70;4.20
16:01:57;-18.10;-30.00;-29.98;19.20;-18.50;-18.10;-21.03;8.70;4.20
16:01:59;-18.10;-30.00;-29.99;19.10;-18.50;-18.10;-21.03;8.70;4.10
16:02:01;-18.10;-30.00;-30.00;19.20;-18.50;-18.10;-21.04;8.70;4.10
16:02:03;-18.10;-30.00;-30.01;19.10;-18.50;-18.10;-21.04;8.70;4.10
16:02:05;-18.10;-30.00;-30.01;19.20;-18.50;-18.10;-21.04;8.70;4.10
